GEO UID,Name,Total,Indigenous,"Visible minority, n.i.e.",Multiple visible minorities,Japanese,Korean,West Asian,Southeast Asian,Latin American,Arab,Filipino,Black,Chinese,South Asian,Caucasian
3520005,Toronto ,2731571,23065,36975,47670,13415,41635,60320,41650,77165,36030,152720,239855,299460,338965,1322646
2466023,Montréal ,1704694,12035,4745,12085,2500,4225,15340,34815,67520,122185,23495,171385,54670,55595,1124099
4806016,Calgary ,1239220,35195,4410,13895,5175,10635,12610,21615,26265,25190,67650,51510,87835,115795,761440
3506008,Ottawa ,934243,22955,2605,7865,2425,2960,9000,12370,11155,40920,12035,60210,40960,38750,670033
4811061,Edmonton ,932546,50280,3655,10255,1940,7025,6390,16300,16980,23975,53975,54285,57715,86545,543226
3521005,Mississauga ,721599,4175,9050,13365,1965,6095,7910,14795,16115,36205,36565,47005,54095,165760,308499
4611040,Winnipeg ,705244,84305,2760,5875,1545,3780,2445,7880,6715,4565,73365,26890,19660,37570,427889
5915022,Vancouver ,631486,13900,1500,11065,10315,9360,8635,17115,10935,2965,36460,6340,167180,37130,298586
3521010,Brampton ,593638,4325,15955,9590,530,430,5275,8425,14045,6045,20100,82175,8960,261705,156078
3525005,Hamilton ,536917,12135,2530,3750,1055,2085,4800,6500,8425,10335,8150,20245,10070,22105,424732
2423027,Québec ,531902,7290,280,450,200,200,605,2390,6675,6245,200,12435,2175,1390,491367
5915004,Surrey ,517887,13460,1995,6320,2855,9280,3720,13005,7065,5770,31865,9455,39885,168040,205172
2465005,Laval ,422993,2525,530,2290,125,215,4365,7630,12655,33690,985,32095,3865,8800,313223
1209034,Halifax ,403131,15730,490,1095,485,1230,1390,865,1210,7335,2575,15085,6975,6555,342111
3539036,London ,383822,9720,1695,2260,635,3250,3255,4410,9050,13655,3510,11325,10435,11660,298962
3519036,Markham ,328966,735,2920,6895,995,4355,7910,2525,1750,3255,8905,9655,147725,58270,73071
3519028,Vaughan ,306233,635,2325,4135,285,5345,8695,6850,7355,4280,8675,8325,20795,30615,197918
2481017,Gatineau ,276245,10420,410,745,125,295,870,1275,4175,8305,525,16670,2405,950,229075
4711066,Saskatoon ,246376,27310,450,1465,405,570,1170,2240,1910,2305,10865,5390,7680,13335,171281
2458227,Longueuil ,239700,2445,665,1030,155,245,1940,2610,7355,7415,490,16515,3295,1895,193645
3530013,Kitchener ,233222,4405,1880,1770,325,1025,2685,5190,5915,4150,1580,9535,4735,11400,178627
5915025,Burnaby ,232755,4195,690,4845,3655,7790,4965,4620,4630,1700,13000,3670,78020,18730,82245
3537039,Windsor ,217188,5570,1295,1830,115,315,1285,3365,2670,16115,2960,10670,7340,9640,154018
4706027,Regina ,215106,20925,350,790,280,600,745,2655,1180,1530,8410,6325,5550,12330,153436
5915015,Richmond ,198309,1600,395,4760,3940,1290,1225,1950,1580,1485,13575,1270,104185,14355,46699
3519038,Richmond Hill ,195022,505,745,3020,625,5435,20165,1450,1645,3575,3800,3875,56920,14965,78297
3524001,Oakville ,193832,1420,810,1925,685,3080,2090,1030,3595,6100,3710,5515,13435,17095,133342
3524002,Burlington ,183314,1975,790,1055,470,1120,1030,830,2325,2465,2695,3790,3570,8690,152509
3553005,Greater Sudbury / Grand Sudbury ,161531,14960,65,165,90,90,115,325,275,610,355,1455,980,1465,140581
2443027,Sherbrooke ,161323,1720,50,285,65,65,1295,465,2710,1935,65,3520,530,450,148168
3518013,Oshawa ,159458,4645,1250,1215,260,155,600,495,1260,975,2105,8715,2190,6040,129553
2494068,Saguenay ,145949,5860,40,25,15,20,65,140,230,325,70,655,265,115,138124
2425213,Lévis ,143414,1255,25,70,35,20,55,220,615,555,30,1035,385,80,139034
3543042,Barrie ,141434,5255,455,565,260,475,315,675,1460,405,1215,3700,1720,3030,121904
5909052,Abbotsford ,141397,6600,235,755,515,1335,210,1540,1120,335,1570,1410,2295,35315,88162
5915034,Coquitlam ,139284,3100,275,2315,1535,9930,7750,1760,2190,1390,5445,1515,28930,6220,66929
2437067,Trois-Rivières ,134413,1775,45,45,25,10,30,205,1090,775,40,1815,310,150,128098
3526053,St. Catharines ,133113,3545,280,895,225,550,335,875,2170,1435,1465,3715,2695,1865,113063
3523008,Guelph ,131794,1910,320,1115,190,315,1530,2440,1345,760,2845,2885,4210,6500,105429
3530010,Cambridge ,129920,2540,715,515,180,220,405,1405,1610,1055,1275,3255,1375,7885,107485
3518009,Whitby ,128377,1995,1170,1855,460,350,1260,525,1340,960,2550,10085,3180,8350,94297
5935010,Kelowna ,127380,6840,240,380,1195,560,345,535,760,255,1435,1005,1810,3220,108800
3510010,Kingston ,123798,4220,165,430,190,520,460,545,885,1020,755,1755,2540,2400,107913
3518005,Ajax ,119677,1190,3185,2915,210,175,2900,670,1665,1975,5690,19860,3400,24895,50947
5915001,Langley ,117285,4310,105,580,895,3545,350,1600,1100,360,1915,1205,4810,5145,91365
5917021,Saanich ,114148,3485,180,685,975,1075,430,1000,820,675,2440,1155,9675,5635,85918
2464008,Terrebonne ,111575,1225,55,95,0,40,110,590,1865,1870,40,7965,385,85,97250
3524009,Milton ,110128,1040,1015,1505,360,580,1010,900,2580,3810,4195,5285,2490,22895,62463
1001519,St. John's ,108860,3250,60,130,40,50,195,185,485,1080,530,1495,1655,1640,98065
3558004,Thunder Bay ,107909,13485,35,195,230,185,170,510,340,345,360,665,745,935,89709
3530016,Waterloo ,104986,1220,605,905,220,1170,1150,1185,1400,1875,545,1990,9565,6650,76506
5915011,Delta ,102238,2710,310,805,1115,525,260,590,820,260,2660,795,7680,20485,63223
3536020,Chatham-Kent ,101647,3680,110,155,90,145,25,300,200,170,230,2125,350,625,93442
4808011,Red Deer ,100418,5185,105,345,125,280,445,660,1765,480,6230,1735,1395,1665,80003
4811052,Strathcona County ,98044,3880,115,265,175,160,55,295,455,275,1815,775,945,1820,87014
3529006,Brantford ,97496,5395,195,315,50,230,55,1060,445,435,750,2015,785,3120,82646
2456083,Saint-Jean-sur-Richelieu ,95114,1130,60,30,15,30,10,225,360,375,65,790,200,35,91789
1217030,Cape Breton ,94285,3335,15,20,25,50,10,15,35,205,125,1105,550,265,88530
4802012,Lethbridge ,92729,5290,85,260,1310,235,435,645,1510,290,1745,1895,1225,2055,75749
3518017,Clarington ,92013,2325,350,335,85,105,145,220,575,275,590,2495,505,1545,82463
3518001,Pickering ,91771,1070,2280,2025,305,295,1580,405,1135,1525,3410,9810,2455,13820,51656
5921007,Nanaimo ,90504,6405,70,255,520,405,175,775,470,270,940,620,2295,1900,75404
5933042,Kamloops ,90280,8595,55,175,825,230,75,240,305,175,675,550,1220,2455,74705
3526043,Niagara Falls ,88071,2240,105,390,245,320,315,685,950,545,1775,1735,1660,2430,74676
5915046,North Vancouver ,85935,1360,75,690,1170,1730,5495,335,780,215,1910,470,5820,3060,62825
5917034,Victoria ,85792,3780,130,445,850,575,440,720,765,575,1700,1130,3280,1750,69652
2458007,Brossard ,85721,370,500,1060,120,270,2060,2440,3600,5030,760,4360,11955,3910,49286
2460013,Repentigny ,84285,820,35,150,20,0,55,370,1230,1505,35,5880,245,65,73875
3519048,Newmarket ,84224,1285,355,885,290,690,1955,2255,1225,685,1800,2310,5590,3300,61599
5909020,Chilliwack ,83788,6585,105,240,155,505,110,495,500,80,755,685,920,1260,71393
5915075,Maple Ridge ,82256,3815,195,470,565,840,740,700,875,160,1810,945,2340,2475,66326
3515014,Peterborough ,81032,3275,170,150,175,165,65,285,205,285,370,795,815,1315,72962
2449058,Drummondville ,75423,830,30,35,0,35,25,135,665,405,15,615,225,20,72388
3516010,Kawartha Lakes ,75423,1995,45,40,40,75,35,130,40,80,185,280,240,345,71893
2475017,Saint-Jérôme ,74346,1180,0,35,0,10,40,180,740,365,10,835,155,145,70651
5953023,Prince George ,74003,11155,80,130,215,165,75,235,260,120,1030,710,945,2525,56358
3557061,Sault Ste. Marie ,73368,8120,60,60,35,80,15,30,75,220,80,485,365,485,63258
1307022,Moncton ,71889,1795,30,100,85,365,50,345,195,900,320,1835,635,330,64904
3538030,Sarnia ,71594,2740,115,115,75,85,115,200,390,405,420,995,565,1220,64154
4816037,Wood Buffalo ,71589,6565,135,270,100,225,155,460,930,1785,4905,4175,950,4985,45949
5915029,New Westminster ,70996,2295,215,865,950,1500,735,795,1275,570,5760,1740,7015,5785,41496
1301006,Saint John ,67575,1430,25,115,25,205,255,150,190,590,215,1400,940,460,61575
3521024,Caledon ,66502,620,475,380,100,110,250,195,905,255,540,1880,695,6630,53467
2447017,Granby ,66222,715,25,15,0,0,190,105,1045,450,20,830,95,65,62667
4811062,St. Albert ,65589,2825,45,310,120,80,105,185,370,670,1445,800,700,915,57019
3528052,Norfolk County ,64044,1795,60,35,0,75,10,85,95,30,130,575,170,120,60864
4801006,Medicine Hat ,63260,3120,95,140,120,30,35,255,630,225,690,840,530,630,55920
4819012,Grande Prairie ,63166,6550,105,140,110,85,70,105,385,290,3105,1325,470,1165,49261
4806021,Airdrie ,61581,2855,130,335,165,110,65,260,825,325,1465,1755,615,1835,50841
3524015,Halton Hills ,61161,1030,150,225,155,115,50,145,445,145,530,635,485,1390,55661
5915039,Port Coquitlam ,58612,1980,170,770,595,1395,1410,575,925,330,2515,880,6430,2790,37847
1310032,Fredericton ,58220,1830,80,210,30,395,340,335,305,850,170,980,1215,920,50560
2473015,Blainville ,56863,410,0,75,10,10,35,385,425,940,55,1265,210,150,52893
2454048,Saint-Hyacinthe ,55648,490,50,40,0,0,45,65,1005,510,10,1165,140,65,52063
3519046,Aurora ,55445,405,305,680,195,595,1880,305,655,555,910,1210,5550,1845,40355
5915051,North Vancouver ,52898,1150,140,490,815,1155,4360,265,835,210,3450,485,2290,1835,35418
3526032,Welland ,52293,1995,70,110,35,180,10,85,395,220,110,810,380,305,47588
3548044,North Bay ,51553,5415,75,75,50,30,0,100,125,55,75,290,350,410,44503
3512005,Belleville ,50716,2485,175,70,45,145,55,170,220,135,270,480,300,725,45441
2474005,Mirabel ,50513,575,0,10,10,20,10,160,290,230,25,500,150,50,48483
2436033,Shawinigan ,49349,770,0,15,10,0,0,35,90,60,15,240,135,15,47964
2466142,Dollard-Des Ormeaux ,48899,105,215,420,45,70,575,535,990,3250,2245,3295,1715,5380,30059
4607062,Brandon ,48859,6500,70,175,45,135,30,100,2370,125,515,995,1785,1430,34584
2410043,Rimouski ,48664,840,35,0,0,15,0,35,85,140,0,305,130,20,47059
2467050,Châteauguay ,47906,1070,90,260,0,10,185,140,1220,1160,170,3915,470,710,38506
2464015,Mascouche ,46692,525,40,40,0,45,0,90,555,195,0,1310,70,50,43772
3501012,Cornwall ,46589,1895,40,80,20,10,155,70,65,110,150,405,170,1505,41914
2439062,Victoriaville ,46130,295,0,45,0,10,20,55,440,75,25,300,135,10,44720
3519044,Whitchurch-Stouffville ,45837,340,380,835,160,180,350,305,350,445,1140,1005,5950,5630,28767
3528018,Haldimand County ,45608,1540,10,25,10,10,25,45,95,20,105,220,70,215,43218
3519070,Georgina ,45418,1225,65,255,65,100,185,155,380,105,345,685,665,695,40493
2472005,Saint-Eustache ,44008,435,20,125,0,20,70,400,445,675,55,1005,120,110,40528
3512015,Quinte West ,43577,2080,25,30,15,120,50,110,100,20,150,275,230,195,40177
