id_incident,date,day_week,prov,city_town,postal_code,location_type
1,6-Jan-12,Fri,QC,Montreal,H3B 4W5,Urban
2,11-Jan-12,Wed,AB,Onoway,T0E 1V0,Rural
3,12-Jan-12,Thu,ON,Oakville,L6H 0G6,Urban
4,3-Feb-12,Fri,ON,Toronto,M4C 1X5,Urban
5,13-Feb-12,Mon,ON,Hamilton,L8K 5J4,Urban
6,16-Feb-12,Thu,QC,Montreal,H1W 3L3,Urban
7,20-Feb-12,Mon,ON,Toronto,M6P 3V6,Urban
8,28-Feb-12,Tue,QC,La Baie,G7B 2B4,Urban
9,14-Mar-12,Wed,NT,Yellowknife,X1A 3K6,Urban
10,20-Apr-12,Fri,ON,Toronto,M3H 1N4,Urban
11,2-May-12,Wed,ON,Maitland,K6V 5T1,Urban
12,6-May-12,Sun,QC,Saint-Felicien,G8K 3G3,Urban
13,30-May-12,Wed,BC,Maple Ridge,V4R 2S8,Urban
14,15-Jul-12,Sun,AB,Lethbridge,T1K 5A8,Urban
15,18-Jul-12,Wed,AB,Vegreville,T0B 2S0,Rural
17,10-Sep-12,Mon,BC,Prince George,V2N 5V8,Urban
18,29-Oct-12,Mon,BC,Vancouver,V5K 2A6,Urban
19,8-Nov-12,Thu,BC,New Westminster,V3M 7A3,Urban
20,13-Nov-12,Tue,BC,Vancouver,V5K 3B2,Urban
21,11-Dec-12,Tue,AB,Edmonton,T6N 1L2,Urban
22,31-Jan-13,Thu,BC,Burnaby,V5C 2J1,Urban
23,26-Apr-13,Fri,ON,Toronto,M1K 2P7,Urban
24,7-Jun-13,Fri,ON,Hamilton,L9A 5G2,Urban
25,8-Jun-13,Sat,ON,Toronto,M1M 2E8,Urban
26,21-Jun-13,Fri,ON,Port Elgin,N0H 2C4,Rural
27,13-Jul-13,Sat,NB,Moncton,E1C 3S7,Urban
28,25-Jul-13,Thu,ON,Arden,K0H 1B0,Rural
29,26-Jul-13,Fri,QC,Montreal,H2J 2L3,Urban
30,27-Jul-13,Sat,ON,Toronto,M6J 2P9,Urban
31,3-Aug-13,Sat,AB,Ma-Me-O Beach,T0C 1X0,Rural
32,2-Aug-13,Fri,AB,Leduc,T9E 7K6,Urban
33,15-Aug-13,Thu,AB,Cold Lake,T0A 0T0,Rural
34,31-Jul-13,Wed,QC,Montreal,H4W 1J1,Urban
35,11-Sep-13,Wed,SK,Holdfast,S0G 2H0,Rural
37,24-Oct-13,Thu,AB,Edmonton,T5K 0Z7,Urban
38,11-Nov-13,Mon,QC,Montreal,H2L 3V2,Urban
39,13-Nov-13,Wed,ON,Toronto,M4X 1K5,Urban
40,2-Dec-13,Mon,ON,Ajax,L1T 4X9,Urban
41,17-Jan-14,Fri,BC,Surrey,V3V 2L3,Urban
42,22-Jan-14,Wed,QC,Ste-Adele,J8B 1A8,Urban
43,3-Feb-14,Mon,QC,Montreal,H2L 4E9,Urban
44,28-Feb-14,Fri,AB,Calgary,T2Z 2J8,Urban
45,28-Feb-14,Fri,NB,Rothesay,E2E 1X1,Urban
46,22-Mar-14,Sat,AB,Medicine Hat,T1B 0C5,Urban
47,28-Mar-14,Fri,ON,Brampton,L6W 4T1,Urban
