id_incident,Department,charge_type,Charges,Officers Involved
1,Service de police de la Ville de Montreal,None,No,0001-P1
2,RCMP,None,No,0002-P1
3,Halton Regional Police Service,None,No,0003-P1
4,Toronto Police Service,None,No,0004-P1
5,Hamilton Police Service,None,No,0005-P1
6,Service de police de la Ville de Montreal,None,No,0006-P1
7,Toronto Police Service,None,No,0007-P1
8,Service de securite publique de Saguenay,None,No,0008-P1
9,RCMP,None,No,0009-P1
10,Toronto Police Service,None,No,0010-P1
11,OPP,None,No,0011-P1
12,Surete du Quebec,None,No,0012-P1
13,RCMP,None,No,0013-P1
14,Lethbridge Police Services,None,No,0014-P1
15,RCMP,None,No,0015-P1
17,RCMP,None,No,0017-P1
18,Vancouver Police Department,None,No,0018-P1
19,Delta Police Department,2nd Murder,Yes,0019-P1
20,Vancouver Police Department,None,No,0020-P1
21,Edmonton Police Service,None,No,0021-P1
22,RCMP,None,No,0022-P1
23,Toronto Police Service,None,No,0023-P1
24,Hamilton Police Service,None,No,0024-P1
25,Toronto Police Service,None,No,0025-P1
26,Saugeen Shores Police Service,None,No,0026-P1
27,RCMP,None,No,0027-P1
28,OPP,None,No,0028-P1
29,Service de police de la Ville de Montreal,None,No,0029-P1
30,Toronto Police Service,2nd Murder & Misconduct,Yes,0030-P1
31,RCMP,None,No,0031-P1
32,RCMP,None,No,0032-P1
33,RCMP,None,No,0033-P1
34,Service de police de la Ville de Montreal,None,No,0034-P1
35,RCMP,None,No,0035-P1
37,Edmonton Police Service,None,No,0037-P1
38,Service de police de la Ville de Montreal,None,No,0038-P1
39,Toronto Police Service,None,No,0039-P1
40,Durham Regional Police Service,None,No,0040-P1
41,RCMP,None,No,0041-P1
42,Surete du Quebec,Manslaugher,Yes,0042-P1
43,Service de police de la Ville de Montreal,None,No,0043-P1
44,Calgary Police Service,None,No,0044-P1
45,Kennebecasis Regional Police Force,None,No,0045-P1
46,Medicine Hat Police Service; RCMP,None,No,0046-P1
47,Peel Regional Police,None,No,0047-P1
48,York Regional Police,None,No,0048-P1
49,Service de police de la Ville de Quebec,None,No,0049-P1
50,RCMP,None,No,0050-P1
51,Edmonton Police Service,None,No,0051-P1
52,RCMP,None,No,0052-P1
54,RCMP,None,No,0054-P1
55,Peel Regional Police,None,No,0055-P1
56,RCMP,Under Invest.,TBD,0056-P1
57,Halton Regional Police Service,None,No,0057-P1
58,Regie intermunicipale de police de Saint-Jean-sur-Richelieu,None,No,0058-P1
59,RCMP & Parlimentary Security,None,No,0059-P1
60,Calgary Police Service,None,No,0060-P1
61,Victoria Police Department,None,No,0061-P1
62,Edmonton Police Service,None,No,0062-P1
63,Vancouver Police Department,None,No,0063-P1
64,South Coast British Columbia Transit Authority Police Service,None,No,0064-P1
65,Toronto Police Service,None,No,0065-P1
66,RCMP,None,No,0066-P1
67,Bathurst Police Force,Manslaugher,Yes,0067-P1
68,RCMP,Manslaugher,Yes,0068-P1
69,RCMP,None,No,0069-P1
70,RCMP,None,No,0070-P1
71,Toronto Police Service,None,No,0071-P1
72,Calgary Police Service,None,No,0072-P1
73,Peel Regional Police,None,No,0073-P1
74,RCMP,None,No,0074-P1
75,Waterloo Regional Police Service,None,No,0075-P1
76,Peterborough Police Service,None,No,0076-P1
77,Royal Newfoundland Constabulary,None,No,0077-P1
78,Vancouver Police Department,None,No,0078-P1
79,Guelph Police Service,None,No,0079-P1
80,Edmonton Police Service,None,No,0080-P1
81,RCMP,None,No,0081-P1
82,Service de police de la Ville de Montreal,None,No,0082-P1
83,Toronto Police Service,None,No,0083-P1
84,RCMP,None,No,0084-P1
85,RCMP,None,No,0085-P1
86,RCMP; Vancouver Police Department,None,No,0086-P1
87,RCMP,Agg. Assault,Yes,0087-P1
88,Toronto Police Service,None,No,0088-P1
89,Vancouver Police Department,None & Under Invest.,TBD,0089-P1
90,Winnipeg Police Service,None,No,0090-P1
92,Winnipeg Police Service,None,No,0092-P1
93,Toronto Police Service,None,No,0093-P1
94,Surete du Quebec,None,No,0094-P1
95,RCMP,Manslaugher,Yes,0095-P1
96,Regie intermunicipale de police de Saint-Jean-sur-Richelieu,None,No,0096-P1
97,Edmonton Police Service,None,No,0097-P1
98,RCMP,None,No,0098-P1
99,Regie intermunicipale de police Roussillon,None,No,0099-P1
100,Durham Regional Police Service,None,No,0100-P1
101,Regie intermunicipale de police du Lac-des-Deux-Montagnes,None,No,0101-P1
102,Calgary Police Service,None,No,0102-P1
